specimen_id,country,unique_countries,specimen_count
cicindelidae_34_6_12_tray_07_spec_026,Brazil,,
cicindelidae_34_6_12_tray_07_spec_028,Brazil,,
cicindelidae_34_6_12_tray_07_spec_029,Brazil,,
cicindelidae_34_6_12_tray_07_spec_031,Brazil,,
cicindelidae_34_6_12_tray_07_spec_032,Brazil,,
cicindelidae_34_6_12_tray_07_spec_033,Brazil,,
cicindelidae_34_6_12_tray_08_spec_001,Brazil,,
cicindelidae_34_6_12_tray_08_spec_002,Brazil,,
cicindelidae_34_6_12_tray_08_spec_003,Brazil,,
cicindelidae_34_6_12_tray_08_spec_004,Brazil,,
cicindelidae_34_6_12_tray_08_spec_005,Brazil,,
cicindelidae_34_6_12_tray_08_spec_006,Brazil,,
cicindelidae_34_6_12_tray_08_spec_007,Brazil,,
cicindelidae_34_6_12_tray_08_spec_008,Brazil,,
cicindelidae_34_6_12_tray_08_spec_009,Brazil,,
cicindelidae_34_6_12_tray_08_spec_011,Brazil,,
cicindelidae_34_6_12_tray_08_spec_012,Brazil,,
cicindelidae_34_6_12_tray_08_spec_013,Brazil,,
cicindelidae_34_6_12_tray_08_spec_014,Brazil,,
cicindelidae_34_6_12_tray_08_spec_015,Brazil,,
cicindelidae_34_6_12_tray_08_spec_016,Brazil,,
cicindelidae_34_6_12_tray_08_spec_017,Brazil,,
cicindelidae_34_6_12_tray_08_spec_019,Brazil,,
cicindelidae_34_6_12_tray_08_spec_022,Brazil,,
cicindelidae_34_6_12_tray_08_spec_023,Brazil,,
cicindelidae_34_6_12_tray_08_spec_024,Brazil,,
cicindelidae_34_6_12_tray_08_spec_027,Brazil,,
cicindelidae_34_6_12_tray_08_spec_030,Brazil,,
cicindelidae_34_6_12_tray_08_spec_031,Brazil,,
cicindelidae_34_6_12_tray_08_spec_033,Brazil,,
cicindelidae_34_6_12_tray_08_spec_036,Brazil,,
cicindelidae_34_6_12_tray_09_spec_002,Brazil,,
cicindelidae_34_6_12_tray_09_spec_004,Brazil,,
cicindelidae_34_6_12_tray_10_spec_001,Brazil,,
cicindelidae_34_6_12_tray_10_spec_002,Brazil,,
cicindelidae_34_6_12_tray_10_spec_003,Brazil,,
cicindelidae_34_6_12_tray_10_spec_006,Brazil,,
cicindelidae_34_6_12_tray_10_spec_007,Brazil,,
cicindelidae_34_6_12_tray_10_spec_008,Brazil,,
cicindelidae_34_6_12_tray_10_spec_009,Brazil,,
cicindelidae_34_6_12_tray_10_spec_010,Brazil,,
cicindelidae_34_6_12_tray_10_spec_011,Brazil,,
cicindelidae_34_6_12_tray_10_spec_013,Brazil,,
cicindelidae_34_6_12_tray_10_spec_014,Brazil,,
cicindelidae_34_6_12_tray_10_spec_015,Brazil,,
cicindelidae_34_6_12_tray_10_spec_016,Brazil,,
cicindelidae_34_6_12_tray_10_spec_017,Brazil,,
cicindelidae_34_6_12_tray_10_spec_018,Brazil,,
cicindelidae_34_6_12_tray_10_spec_022,Brazil,,
cicindelidae_34_6_12_tray_10_spec_023,Brazil,,
cicindelidae_34_6_12_tray_10_spec_024,Brazil,,
cicindelidae_34_6_12_tray_10_spec_025,Brazil,,
cicindelidae_34_6_12_tray_10_spec_026,Brazil,,
cicindelidae_34_6_12_tray_10_spec_027,Brazil,,
cicindelidae_34_6_12_tray_10_spec_029,Brazil,,
cicindelidae_34_6_12_tray_10_spec_030,Brazil,,
cicindelidae_34_6_12_tray_10_spec_031,Brazil,,
cicindelidae_34_6_12_tray_10_spec_032,Brazil,,
cicindelidae_34_6_12_tray_10_spec_033,Brazil,,
cicindelidae_34_6_12_tray_12_spec_004,Brazil,,
cicindelidae_34_6_12_tray_12_spec_005,Brazil,,
